"index","imdb_id","kaggle_id","title","original_title","tagline","belongs_to_collection","wikipedia_url","imdb_link","runtime","budget","revenue","release_date","popularity","vote_average","vote_count","genres","original_language","overview","spoken_languages","country","production_companies","production_countries","distributor","producers","director","starring","cinematography","editors","writers","composers","based_on"
188,"tt0105643",26914,"Troll 2","Troll 2","The original boogeyman is back.","{'id': 123218, 'name': 'Troll Collection', 'poster_path': '/pyJAsz6hbAzkx5Kw9CvI8jRkOmw.jpg', 'backdrop_path': None}","https://en.wikipedia.org/wiki/Troll_2","https://www.imdb.com/title/tt0105643/",95,NULL,NULL,"1990-10-12 00:00:00",7.932049,3.6,101,"[{'id': 27, 'name': 'Horror'}]","en","A young child is terrified to discover that a planned family trip is to be haunted by vile plant-eating monsters out of his worst nightmare...","[{'iso_639_1': 'en', 'name': 'English'}]","{""United States"",Italy}","[{'name': 'Filmirage', 'id': 6082}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",NULL,"{""Brenda Norris"",""Joe D'Amato"",""Asher Zulkosky Larson""}","{""Claudio Fragasso"",[a]}","{""Michael Stephenson"",""George Hardy"",""Margo Prey"",""Connie McFarland"",""Deborah Reed"",""Jason Wright"",""Darren Ewing"",""Jason Steadman""}","Giancarlo Ferrando","Vania Friends","{""Rossella Drudi"",""Claudio Fraggaso"",[a]}","Carlo Maria Cordio",NULL
46,"tt0099460",60778,"Downtown","Downtown","When you pound this beat, it pounds you back.",NULL,"https://en.wikipedia.org/wiki/Downtown_(film)","https://www.imdb.com/title/tt0099460/",96,10000000,2346150,"1990-01-12 00:00:00",1.026053,5.9,9,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]","en","Officer Alex Kearney patrols an upscale neighborhood in Philadelphia, where he pulls over a well-connected white collar executive who promises to get even with the policeman. Soon, Kearney learns that he is off the cushy suburban beat and must now work in the deadliest precinct in Philly, where he is partnered with tough veteran cop Dennis Curran. Tensions are high between them, but Kearney soon proves he can play just as rough as the crooks.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","20th Century Fox","Charles H. Maguire","Richard Benjamin","{""Anthony Edwards"",""Forest Whitaker"",""Penelope Ann Miller"",""Joe Pantoliano""}","Richard H. Kline","{""Jacqueline Cambas"",""Brian L. Chambers""}","Nat Mauldin","Alan Silvestri",NULL
47,"tt0099462",66469,"Dream Machine","Dream Machine","Perfect Car. Perfect Girl. Perfect Murder... Almost.",NULL,"https://en.wikipedia.org/wiki/Dream_Machine_(film)","https://www.imdb.com/title/tt0099462/",88,NULL,NULL,"1991-11-13 00:00:00",0.504655,4.8,6,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]","en","As a reward from a jilted millionairess, Davis is given the $100,000 Porsche of the unfaithful husband. Unknown to Davis and the wife, the body of the husband is in the Porsche. The killer tries in vein to recover the body before it is discovered.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","International Creative Exchange","{""Lyman Dayton"",""Eric R. Epperson"",""Michael Wuergler""}","Lyman Dayton","{""Corey Haim"",""Brittney Lewis"",""Randall England"",""Tracy Fraim"",""Evan Richards""}","T.C. Christensen","Stephen L. Johnson","Eric Hendershot","Lex de Azevedo",NULL
48,"tt0099472",10837,"DuckTales: The Movie - Treasure of the Lost Lamp","DuckTales: The Movie - Treasure of the Lost Lamp","Scrooge McDuck's First Full-Length Animated Feature Film.",NULL,"https://en.wikipedia.org/wiki/DuckTales_the_Movie:_Treasure_of_the_Lost_Lamp","https://www.imdb.com/title/tt0099472/",74,NULL,18100000,"1990-08-03 00:00:00",7.810813,6.7,201,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]","en","Scrooge McDuck, his dimwitted pilot Launch Pad, and his newphews Huey, Dewey and Louie, with Webby, arrive in Egypt where Scrooge finds the lost treasure of Collie Baba, unbeknownst to Scrooge, a magic lamp was included inside the treasure, so while the nephews have fun with the genie, they all have no idea that they're being stalked by a power hungry sorceror named Murlock and his dimwitted thief.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'DisneyToon Studios', 'id': 5391}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","Buena Vista Pictures","{""Bob Hathcock"",""Jean-Pierre Quenet""}","Bob Hathcock","{""Alan Young"",""Terrence McGovern"",""Russi Taylor"",""Richard Libertini"",""Christopher Lloyd"",""June Foray"",""Chuck McCann"",""Joan Gerber"",""Rip Taylor""}",NULL,"Charles King","Alan Burnett","David Newman","{DuckTales,by,""Jymn Magon""}"
49,"tt0099487",162,"Edward Scissorhands","Edward Scissorhands","His scars run deep.",NULL,"https://en.wikipedia.org/wiki/Edward_Scissorhands","https://www.imdb.com/title/tt0099487/",105,20000000,53000000,"1990-12-05 00:00:00",17.612244,7.5,3731,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","en","A small suburban town receives a visit from a castaway unfinished science experiment named Edward.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","20th Century Fox","{""Denise Di Novi"",""Tim Burton""}","Tim Burton","{""Johnny Depp"",""Winona Ryder"",""Dianne Wiest"",""Anthony Michael Hall"",""Kathy Baker"",""Vincent Price"",""Alan Arkin""}","Stefan Czapsky","{""Richard Halsey"",""Colleen Halsey""}","{""Tim Burton"",""Caroline Thompson""}","Danny Elfman",NULL
50,"tt0099512",18943,"Ernest Goes to Jail","Ernest Goes to Jail","Guilty of Maximum Fun in the First Degree!","{'id': 330555, 'name': 'Ernest Collection', 'poster_path': '/m8CTuM76DbvFvpCHBepso5Bu7nw.jpg', 'backdrop_path': '/vTlcbHNWrAf77AZFDZ9yCjHm8ag.jpg'}","https://en.wikipedia.org/wiki/Ernest_Goes_to_Jail","https://www.imdb.com/title/tt0099512/",81,NULL,25000000,"1990-04-06 00:00:00",2.30623,5.1,33,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]","en","Bumbling Ernest P. Worrell is assigned to jury duty, where a crooked lawyer notices a resemblance with crime boss Mr. Nash, and arranges a switch. Nash assumes Ernest's job as a bank employee, while Ernest undergoes Nash's sentence to the electric chair. But instead of killing him, the electrocution gives Ernest superhuman powers, enabling him to escape from jail and foil Nash's attempt to rob the bank.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Touchstone Pictures', 'id': 9195}, {'name': 'Silver Screen Partners IV', 'id': 10282}]","[]","Buena Vista Pictures","Martin Erlichman","John R. Cherry III","{""Jim Varney"",""Gailard Sartain""}","Peter Stein","Sharyn L. Ross","Charlie Cohen","{""Bruce Arntson"",""Kirby Shelstad""}",NULL
51,"tt0099520",41816,"Everybody Wins","Everybody Wins","How deep do lies go?",NULL,"https://en.wikipedia.org/wiki/Everybody_Wins_(film)","https://www.imdb.com/title/tt0099520/",97,19000000,1372350,"1990-01-19 00:00:00",0.304133,4.1,7,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]","en","A seemingly good Samaritan hires a private detective to prove a teen sitting in prison on a murder charge is innocent. His investigation discovers deep corruption in a Connecticut town and finds the woman isn't everything she is pretending to be either.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Orion Pictures', 'id': 41}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","Orion Pictures","Jeremy Thomas","Karel Reisz","{""Debra Winger"",""Nick Nolte"",""Will Patton"",""Judith Ivey"",""Jack Warden""}","Ian Baker","John Bloom","Arthur Miller","Mark Isham",NULL
58,"tt0099582",1551,"Flatliners","Flatliners","Some lines shouldn't be crossed.",NULL,"https://en.wikipedia.org/wiki/Flatliners","https://www.imdb.com/title/tt0099582/",115,26000000,61489265,"1990-08-09 00:00:00",11.890138,6.3,413,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]","en","Five medical students want to find out if there is life after death. They plan to stop one of their hearts for a few seconds, thus simulating death, and then bring the person back to life. A science fiction thriller from the early 1990's with a star studded cast.","[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'es', 'name': 'Español'}]","United States","[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Stonebridge Entertainment', 'id': 5738}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Columbia Pictures","{""Michael Douglas"",""Rick Bieber""}","Joel Schumacher","{""Kiefer Sutherland"",""Julia Roberts"",""William Baldwin"",""Oliver Platt"",""Kevin Bacon""}","Jan de Bont","Robert Brown","Peter Filardi","James Newton Howard",NULL
52,"tt0099528",11587,"The Exorcist III","The Exorcist III","Do you dare walk these steps again?","{'id': 12263, 'name': 'The Exorcist Collection', 'poster_path': '/wjMqwHkOuDBSOY5MujL5GSdlBTk.jpg', 'backdrop_path': '/gZnEheMdhKxSZQUEzphCHXldud1.jpg'}","https://en.wikipedia.org/wiki/The_Exorcist_III","https://www.imdb.com/title/tt0099528/",110,11000000,39024251,"1990-08-17 00:00:00",5.861032,6.1,135,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]","en","Set fifteen years after the original film, The Exorcist III centers around the philosophical Lieutenant William F. Kinderman who is investigating a baffling series of murders around Georgetown that all contain the hallmarks of The Gemini, a deceased serial killer. It eventually leads him to a catatonic patient in a psychiatric hospital who has recently started to speak, claiming he is the The Gemini and detailing the murders, but bears a striking resemblance to Father Damien Karras.","[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]","United States","[{'name': 'Morgan Creek Productions', 'id': 10210}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","20th Century Fox","{""Carter DeHaven"",""James G. Robinson""}","William Peter Blatty","{""George C. Scott"",""Ed Flanders"",""Jason Miller"",""Scott Wilson"",""Nicol Williamson"",""Brad Dourif""}","Gerry Fisher","{""Todd Ramsay"",""Peter Lee Thompson""}","William Peter Blatty","Barry De Vorzon","{Legion,""by William Peter Blatty""}"
53,"tt0121262",15902,"Faces of Death IV","Faces of Death IV",NULL,"{'id': 97237, 'name': 'Faces of Death Collection', 'poster_path': '/89llzuz9jZEOyZsIOD5OoQmht3p.jpg', 'backdrop_path': None}","https://en.wikipedia.org/wiki/Faces_of_Death_IV","https://www.imdb.com/title/tt0121262/",89,NULL,NULL,"1990-11-28 00:00:00",0.778312,3.9,6,"[{'id': 27, 'name': 'Horror'}, {'id': 99, 'name': 'Documentary'}]","en","Follows the same pattern of the other Faces of Death movies. In this one we see many staged and not so staged looking deaths ranging from bungee jumping accidents and magic tricks gone bad.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'F.O.D. Productions', 'id': 16014}, {'name': 'K-Network', 'id': 16015}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Gorgon Video",NULL,"John Alan Schwartz, Susumu Saegusa, Andrew Theopolis","James B. Schwartz","Peter B. Good","{""Michael Murray"",""Armondo Pinto""}","James B. Schwartz","Barington van Campen",NULL
54,"tt0099546",25111,"Far Out Man","Far Out Man","He's a visitor from another time... The 60's",NULL,"https://en.wikipedia.org/wiki/Far_Out_Man","https://www.imdb.com/title/tt0099546/",81,500000,NULL,"1990-05-11 00:00:00",1.522173,5.1,9,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]","en","An aging hippie sets out on a trip across America to find his family.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","New Line Cinema","{""Lisa M. Hansen"",""John Pare""}","Tommy Chong","{""Tommy Chong"",""C. Thomas Howell"",""Rae Dawn Chong"",""Shelby Chong"",""Paris Chong"",""Martin Mull"",""Judd Nelson"",""Michael Winslow"",""Cheech Marin"",""Paul Bartel""}","{""Greg Gardiner"",""Eric Woster""}","{""Stephen R. Myers"",""Gilberto Costa Nunes""}","Tommy Chong","Jay Chattaway",NULL
55,"tt0099575",6470,"Fire Birds","Fire Birds","The best just got better",NULL,"https://en.wikipedia.org/wiki/Fire_Birds","https://www.imdb.com/title/tt0099575/",85,22000000,14760451,"1990-05-25 00:00:00",2.65559,4.5,35,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]","en","A joint task force operation between the Drug Enforcement Administration and the U.S. Army has been formed to dismantle one of the largest drug cartels operating in South America. Multiple attempts to assault the cartel's mountainous compound have been thwarted by a Scorpion-attack helicopter piloted by a cartel leader, Eric Stoller (Bert Rhine). After having several aircraft shot down, most notably a pair of UH–60 Black Hawks and their AH–1 Cobra escorts, the army turns to the new AH–64 Apache attack helicopter, which can match its enemies' maneuverability and firepower.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Nova International Films', 'id': 2098}, {'name': 'Touchstone Pictures', 'id': 9195}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Buena Vista Pictures","Bill Badalato","David Green","{""Nicolas Cage"",""Tommy Lee Jones"",""Sean Young"",""Bryan Kestner""}","Tony Imi","{""Norman Buckley"",""Dennis M. O'Connor"",""Jon Poll""}","{""Step Tyner"",""John K. Swensson"",""Dale Dye""}","David Newman",NULL
56,"tt0099578",41374,"The First Power","The First Power",NULL,NULL,"https://en.wikipedia.org/wiki/The_First_Power","https://www.imdb.com/title/tt0099578/",98,10000000,22424195,"1990-04-06 00:00:00",1.942945,4.7,15,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]","en","A young man born out of an incestuous relationship, after enduring an emotionally scarring childhood, gives in to the dark side of Satanic forces and becomes a weapon of evil. He kills with such ferocity that he becomes the main target of the L.A.P.D. Detective Russell Logan engages in a battle of wits with Channing in life and after death. It appears that Channing can't be stopped, but Logan has a few tricks of his own to match Channing's -""First Power"".","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Orion Pictures', 'id': 41}, {'name': 'Nelson Entertainment', 'id': 365}, {'name': 'Interscope Communications', 'id': 10201}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Orion Pictures","David Madden","Robert Resnikoff","{""Lou Diamond Phillips"",""Tracy Griffith"",""Jeff Kober"",""Mykel T. Williamson"",""Elizabeth Arlen""}","Theo van de Sande","Michael Bloecher","Robert Resnikoff","Stewart Copeland",NULL
57,"tt0099581",12719,"Flashback","Flashback","A '60s radical. An uptight fed. It's gonna be a real trip!",NULL,"https://en.wikipedia.org/wiki/Flashback_(1990_film)","https://www.imdb.com/title/tt0099581/",108,NULL,6488144,"1990-02-02 00:00:00",2.115753,6.6,24,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]","en","A hippie radical, Huey Walker has been a fugitive for decades, accused of a crime that he may not have committed. Finally apprehended, Walker is escorted to trial by uptight 20-something FBI agent John Buckner. While the two seem to be polar opposites, it turns out that Buckner may have more in common with Walker than is initially apparent, a point that is driven home when the pair faces off against a sinister small-town sheriff.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Paramount Pictures', 'id': 4}, {'name': '60/80 Productions', 'id': 55870}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Paramount Pictures","Marvin Worth","Franco Amurri","{""Dennis Hopper"",""Kiefer Sutherland""}","Stefan Czapsky","Carroll Timothy O'Meara","David Loughery","Barry Goldberg",NULL
196,"tt0100928",28761,"White Hunter Black Heart","White Hunter Black Heart","An adventure in obsession...",NULL,"https://en.wikipedia.org/wiki/White_Hunter_Black_Heart","https://www.imdb.com/title/tt0100928/",112,24000000,2000000,"1990-09-14 00:00:00",3.82281,6.5,58,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]","en","A thinly fictionalized account of a legendary movie director, whose desire to hunt down an animal turns into a grim situation with his movie crew in Africa","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Warner Bros.","Clint Eastwood","Clint Eastwood","{""Clint Eastwood"",""Jeff Fahey"",""George Dzundza"",""Alun Armstrong"",""Marisa Berenson""}","Jack N. Green","Joel Cox","{""Peter Viertel"",""James Bridges"",""Burt Kennedy""}","Lennie Niehaus","{""White Hunter, Black Heart"",""by Peter Viertel""}"
59,"tt0099595",118430,"The Forbidden Dance","The Forbidden Dance",NULL,NULL,"https://en.wikipedia.org/wiki/The_Forbidden_Dance","https://www.imdb.com/title/tt0099595/",97,NULL,1823154,"1990-03-16 00:00:00",1.332871,2.9,7,"[]","en","Filmed during the Lambada dance craze (if there really ever was one), this film tries to have a social conscience. A princess (Laura Herring) in the Amazon rain forests tries to fight a conglomerate threatening the forests by going to Los Angeles. There she links up with a rich kid (Jeff James) who tells her that she must get on tv to succeed with her mission. Quick as a wink the two come up with the idea of winning a lambada dance contest that is getting tv attention. Sid Haig also co-stars as a witch doctor who accompanies the princess and provides some humor.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[]","[]","Columbia Pictures","Richard L. Albert","Greydon Clark","{""Laura Harring"",""Jeff James"",""Sid Haig"",""Richard Lynch""}","R. Michael Stringer","{""Robert Edwards"",""Barry Seybert"",""Earl Watson""}","{""Roy Langsdon"",""John Platt""}","Vladimir Horunzhy",NULL
60,"tt0099606",51434,"The Fourth War","The Fourth War",NULL,NULL,"https://en.wikipedia.org/wiki/The_Fourth_War","https://www.imdb.com/title/tt0099606/",91,NULL,1305887,"1990-03-08 00:00:00",0.91273,5.3,9,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]","en","Cold War drama about two gung-ho border commanders (Roy Scheider, Jurgen Prochnow) who carry out their own private war against each other on the German - Czechoslovakia border.","[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]","United States","[{'name': 'Aurora Productions LLC', 'id': 23683}, {'name': 'Kodiak Films', 'id': 23684}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'CA', 'name': 'Canada'}]","Cannon Films",NULL,"John Frankenheimer","{""Roy Scheider"",""Jürgen Prochnow"",""Tim Reid"",""Lara Harris"",""Harry Dean Stanton""}","Gerry Fisher",NULL,"{""Stephen Peters"",""Kenneth Ross""}","Bill Conti",NULL
61,"tt0099611",27274,"Frankenhooker","Frankenhooker","A terrifying tale of sluts and bolts.",NULL,"https://en.wikipedia.org/wiki/Frankenhooker","https://www.imdb.com/title/tt0099611/",85,2500000,205068,"1990-06-01 00:00:00",5.097791,5.7,65,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]","en","A medical school dropout loses his fiancée in a tragic lawnmower incident, and decides to bring her back. Unfortunately, he was only able to save her head, so he goes to the red light district in the city and lures prostitutes into a hotel room so he can get parts for his girlfriend.","[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'sv', 'name': 'svenska'}]",NULL,"[{'name': 'Levins-Henenlotter', 'id': 4648}, {'name': 'Shapiro-Glickenhaus Entertainment', 'id': 16636}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Shapiro-Glickenhaus Entertainment","James Glickenhaus","Frank Henenlotter","{""James Lorinz"",""Patty Mullen"",""Louise Lasser""}","Robert M. Baldwin","Kevin Tent","{""Robert \""Bob\"" Martin"",""Frank Henenlotter""}","Joe Renzetti",NULL
62,"tt0099612",3072,"Frankenstein Unbound","Frankenstein Unbound",NULL,NULL,"https://en.wikipedia.org/wiki/Frankenstein_Unbound","https://www.imdb.com/title/tt0099612/",82,11500000,335,"1990-11-02 00:00:00",2.079742,5.4,21,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]","en","The ultimate weapon, claimed to be safe for mankind, produces global side-effects including time slides and disappearances. The scientist behind the project and his car are zapped from the year 2031 to 1817 in Switzerland where he meets Dr. Victor Frankenstein, Mary Shelley and others.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'The Mount Company', 'id': 1312}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","20th Century Fox","{""Jay Cassidy"",""Roger Corman"",""Kobi Jaeger"",""Laura J. Medina"",""Thom Mount""}","Roger Corman","{""John Hurt"",""Raul Julia"",""Bridget Fonda"",""Jason Patric"",""Michael Hutchence"",""Nick Brimble""}","{""Armando Nannuzzi"",""Michael Scott""}","{""Mary Bauer"",""Jay Lash Cassidy""}","{""Roger Corman"",""F. X. Feeney""}","Carl Davis","{""Frankenstein Unbound"",by,""Brian Aldiss""}"
